,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
1044,https://boston.craigslist.org/gbs/apa/d/somerville-great-location-porter/7504962621.html,Tue 05 Jul 12:10:45 PM,2400.0,2,1.0,550.0,4.47272,"(795, 2520]"
1045,https://boston.craigslist.org/gbs/apa/d/chestnut-hill-be-1st-to-live-in-rare/7504939041.html,Tue 05 Jul 11:27:17 AM,2725.0,1,1.0,735.0,6.30749,"(2520, 3300]"
1048,https://boston.craigslist.org/gbs/apa/d/medford-no-fee-medford-ma-bed-bath/7504872610.html,Tue 05 Jul 08:53:24 AM,3200.0,3,2.0,1300.0,5.9793,"(2520, 3300]"
1049,https://boston.craigslist.org/gbs/apa/d/watertown-boutique-apt-overlooks-the/7504861406.html,Tue 05 Jul 08:07:32 AM,3400.0,2,1.5,1100.0,7.02573,"(3300, 5100]"
1050,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504849641.html,Tue 05 Jul 06:41:38 AM,3875.0,4,1.0,761.0,2.02899,"(3300, 5100]"
1051,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504849451.html,Tue 05 Jul 06:39:15 AM,3875.0,4,1.0,1131.0,2.02749,"(3300, 5100]"
1052,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504849294.html,Tue 05 Jul 06:37:14 AM,4250.0,4,1.0,1115.0,1.90713,"(3300, 5100]"
1053,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504849122.html,Tue 05 Jul 06:34:48 AM,4250.0,4,1.0,981.0,1.90742,"(3300, 5100]"
1054,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504848790.html,Tue 05 Jul 06:30:28 AM,4200.0,4,1.0,1039.0,1.90264,"(3300, 5100]"
1055,https://boston.craigslist.org/gbs/apa/d/dorchester-unfurnished-bedroom/7504848428.html,Tue 05 Jul 06:27:02 AM,4200.0,4,1.0,1039.0,1.90316,"(3300, 5100]"
1057,https://boston.craigslist.org/gbs/apa/d/somerville-luxury-union-square-bed/7504795733.html,Mon 04 Jul 09:28:40 PM,3250.0,1,1.0,700.0,3.32006,"(2520, 3300]"
1058,https://boston.craigslist.org/gbs/apa/d/cambridge-classy-cambridge-full-service/7504766726.html,Mon 04 Jul 07:23:40 PM,3645.0,1,1.0,785.0,2.59323,"(3300, 5100]"
1060,https://boston.craigslist.org/gbs/apa/d/boston-large-tv-media-center-pet/7504751610.html,Mon 04 Jul 06:27:54 PM,3702.0,1,1.0,549.0,1.00325,"(3300, 5100]"
1061,https://boston.craigslist.org/gbs/apa/d/boston-deposit-free-with-rhino-private/7504750406.html,Mon 04 Jul 06:23:52 PM,3339.0,0,1.0,495.0,0.29013,"(3300, 5100]"
1062,https://boston.craigslist.org/gbs/apa/d/boston-nest-learning-thermostats/7504749225.html,Mon 04 Jul 06:19:52 PM,3190.0,1,1.0,674.0,1.77868,"(2520, 3300]"
1064,https://boston.craigslist.org/gbs/apa/d/somerville-apartment/7504666691.html,Mon 04 Jul 02:30:29 PM,3000.0,2,2.0,1200.0,4.00958,"(2520, 3300]"
1070,https://boston.craigslist.org/gbs/apa/d/arlington-arlington-rooms-bedrooms/7504513389.html,Mon 04 Jul 04:53:28 AM,2000.0,2,1.0,800.0,8.20428,"(795, 2520]"
1071,https://boston.craigslist.org/gbs/apa/d/mattapan-live-like-royalty-amazing/7504452901.html,Sun 03 Jul 08:43:41 PM,3200.0,4,2.0,1111.0,4.84405,"(2520, 3300]"
1072,https://boston.craigslist.org/gbs/apa/d/dorchester-renovated-4bed-2bath-in/7504442758.html,Sun 03 Jul 08:04:36 PM,2875.0,4,2.0,1111.0,2.41332,"(2520, 3300]"
